Title:,"Time Series, Area-Averaged of Dust Surface Mass Concentration - PM 2.5, time average hourly 0.5 x 0.625 (hourly)"
User Start Date:,1999-01-01T00:00:00Z
User End Date:,2025-10-10T23:59:59Z
User Bounding Box:,"67.75,40.05,67.95,40.3"
Data Bounding Box:,"68.125,40,68.125,40"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1999-01-01T00:00:00Z&endtime=2025-10-10T23:59:59Z&bbox=67.75,40.05,67.95,40.3&data=M2T1NXAER_5_12_4_DUSMASS25&dataKeyword=dusmass25&portal=GIOVANNI&format=json"
Fill Value (mean_M2T1NXAER_5_12_4_DUSMASS25):, 1000000000000000

time, mean_M2T1NXAER_5_12_4_DUSMASS25
1999-01-01 00:30:00,1.28493411e-08
1999-01-01 01:30:00,1.30021363e-08
1999-01-01 02:30:00,1.33077265e-08
1999-01-01 03:30:00,1.37879397e-08
1999-01-01 04:30:00,1.43918459e-08
1999-01-01 05:30:00,1.59852824e-08
1999-01-01 06:30:00,1.8888386e-08
1999-01-01 07:30:00,2.22353282e-08
1999-01-01 08:30:00,2.51748222e-08
1999-01-01 09:30:00,3.06172296e-08
1999-01-01 10:30:00,3.78786353e-08
1999-01-01 11:30:00,3.99159035e-08
1999-01-01 12:30:00,3.71073838e-08
1999-01-01 13:30:00,3.44734872e-08
1999-01-01 14:30:00,3.639434e-08
1999-01-01 15:30:00,3.85916792e-08
1999-01-01 16:30:00,4.63187462e-08
1999-01-01 17:30:00,6.26023393e-08
1999-01-01 18:30:00,7.61647243e-08
1999-01-01 19:30:00,8.04138836e-08
1999-01-01 20:30:00,7.62811396e-08
1999-01-01 21:30:00,6.69970177e-08
1999-01-01 22:30:00,5.493348e-08
1999-01-01 23:30:00,4.54747351e-08
1999-01-02 00:30:00,4.10800567e-08
1999-01-02 01:30:00,3.78931873e-08
1999-01-02 02:30:00,4.69153747e-08
1999-01-02 03:30:00,6.20493665e-08
1999-01-02 04:30:00,7.28177838e-08
1999-01-02 05:30:00,7.25849532e-08
1999-01-02 06:30:00,6.42612576e-08
1999-01-02 07:30:00,5.55737643e-08
1999-01-02 08:30:00,5.07716358e-08
1999-01-02 09:30:00,4.96511348e-08
1999-01-02 10:30:00,5.08298399e-08
1999-01-02 11:30:00,5.33764251e-08
1999-01-02 12:30:00,5.52972779e-08
1999-01-02 13:30:00,5.58648026e-08
1999-01-02 14:30:00,5.55155566e-08
1999-01-02 15:30:00,5.424954e-08
1999-01-02 16:30:00,5.20376489e-08
1999-01-02 17:30:00,4.9709346e-08
1999-01-02 18:30:00,4.71336605e-08
1999-01-02 19:30:00,4.45579751e-08
1999-01-02 20:30:00,4.21278052e-08
1999-01-02 21:30:00,3.9144652e-08
1999-01-02 22:30:00,3.58850301e-08
1999-01-02 23:30:00,3.28582423e-08
1999-01-03 00:30:00,3.03261913e-08
1999-01-03 01:30:00,2.81579595e-08
1999-01-03 02:30:00,2.60261235e-08
1999-01-03 03:30:00,2.41925626e-08
1999-01-03 04:30:00,2.28829169e-08
1999-01-03 05:30:00,1.7884334e-08
1999-01-03 06:30:00,1.43518264e-08
1999-01-03 07:30:00,1.22054189e-08
1999-01-03 08:30:00,1.10885594e-08
1999-01-03 09:30:00,1.09721441e-08
1999-01-03 10:30:00,1.17943273e-08
1999-01-03 11:30:00,1.43118086e-08
1999-01-03 12:30:00,1.85973477e-08
1999-01-03 13:30:00,2.12676241e-08
1999-01-03 14:30:00,2.11512088e-08
1999-01-03 15:30:00,2.0605512e-08
1999-01-03 16:30:00,2.09765858e-08
1999-01-03 17:30:00,2.18642526e-08
1999-01-03 18:30:00,2.25918484e-08
1999-01-03 19:30:00,2.29629222e-08
1999-01-03 20:30:00,2.32175807e-08
1999-01-03 21:30:00,2.34867912e-08
1999-01-03 22:30:00,2.35595508e-08
1999-01-03 23:30:00,2.34431354e-08
1999-01-04 00:30:00,2.33630999e-08
1999-01-04 01:30:00,2.34576873e-08
1999-01-04 02:30:00,2.49128789e-08
1999-01-04 03:30:00,2.62880349e-08
1999-01-04 04:30:00,2.64990376e-08
1999-01-04 05:30:00,2.54585757e-08
1999-01-04 06:30:00,2.37050699e-08
1999-01-04 07:30:00,2.15441105e-08
1999-01-04 08:30:00,1.94631866e-08
1999-01-04 09:30:00,1.78260962e-08
1999-01-04 10:30:00,1.64218363e-08
1999-01-04 11:30:00,1.55414455e-08
1999-01-04 12:30:00,1.56942406e-08
1999-01-04 13:30:00,1.56942406e-08
1999-01-04 14:30:00,1.5112164e-08
1999-01-04 15:30:00,1.42681529e-08
1999-01-04 16:30:00,1.34677975e-08
1999-01-04 17:30:00,1.28347892e-08
1999-01-04 18:30:00,1.25837687e-08
1999-01-04 19:30:00,1.24819053e-08
1999-01-04 20:30:00,1.20708137e-08
1999-01-04 21:30:00,1.14268914e-08
1999-01-04 22:30:00,1.09575922e-08
1999-01-04 23:30:00,1.06738298e-08
1999-01-05 00:30:00,1.03500497e-08
1999-01-05 01:30:00,9.76069714e-09
1999-01-05 02:30:00,8.94942787e-09
1999-01-05 03:30:00,8.14179657e-09
1999-01-05 04:30:00,7.44512363e-09
1999-01-05 05:30:00,6.55381882e-09
1999-01-05 06:30:00,6.0936145e-09
1999-01-05 07:30:00,6.20457286e-09
1999-01-05 08:30:00,6.15909812e-09
1999-01-05 09:30:00,6.16091711e-09
1999-01-05 10:30:00,6.1118044e-09
1999-01-05 11:30:00,6.20457286e-09
1999-01-05 12:30:00,6.35918695e-09
1999-01-05 13:30:00,6.28460839e-09
1999-01-05 14:30:00,6.06087269e-09
1999-01-05 15:30:00,5.86805982e-09
1999-01-05 16:30:00,5.60794433e-09
1999-01-05 17:30:00,5.20594767e-09
1999-01-05 18:30:00,4.80577e-09
1999-01-05 19:30:00,4.51291271e-09
1999-01-05 20:30:00,4.29827196e-09
1999-01-05 21:30:00,4.14183887e-09
1999-01-05 22:30:00,4.07089829e-09
1999-01-05 23:30:00,3.99086275e-09
1999-01-06 00:30:00,3.90173227e-09
1999-01-06 01:30:00,3.85080057e-09
1999-01-06 02:30:00,3.83079168e-09
1999-01-06 03:30:00,3.75621312e-09
1999-01-06 04:30:00,3.52156349e-09
1999-01-06 05:30:00,3.34785e-09
1999-01-06 06:30:00,3.18959792e-09
1999-01-06 07:30:00,2.92311597e-09
1999-01-06 08:30:00,2.84217094e-09
1999-01-06 09:30:00,2.82125256e-09
1999-01-06 10:30:00,2.83034751e-09
1999-01-06 11:30:00,2.93402991e-09
1999-01-06 12:30:00,3.12320481e-09
1999-01-06 13:30:00,3.1413947e-09
1999-01-06 14:30:00,3.02770786e-09
1999-01-06 15:30:00,2.94676283e-09
1999-01-06 16:30:00,2.87127477e-09
1999-01-06 17:30:00,2.72393685e-09
1999-01-06 18:30:00,2.51748133e-09
1999-01-06 19:30:00,2.35922926e-09
1999-01-06 20:30:00,2.27100827e-09
1999-01-06 21:30:00,2.15550244e-09
1999-01-06 22:30:00,1.96087058e-09
1999-01-06 23:30:00,1.74986781e-09
1999-01-07 00:30:00,1.57479019e-09
1999-01-07 01:30:00,1.44791568e-09
1999-01-07 02:30:00,1.36515166e-09
1999-01-07 03:30:00,1.29739419e-09
1999-01-07 04:30:00,1.21053767e-09
1999-01-07 05:30:00,1.21599597e-09
1999-01-07 06:30:00,1.41199052e-09
1999-01-07 07:30:00,1.37833978e-09
1999-01-07 08:30:00,1.36151568e-09
1999-01-07 09:30:00,1.42745205e-09
1999-01-07 10:30:00,1.49657742e-09
1999-01-07 11:30:00,1.48612589e-09
1999-01-07 12:30:00,1.38788891e-09
1999-01-07 13:30:00,1.26192534e-09
1999-01-07 14:30:00,1.17734966e-09
1999-01-07 15:30:00,1.13823262e-09
1999-01-07 16:30:00,1.12186171e-09
1999-01-07 17:30:00,1.10185361e-09
1999-01-07 18:30:00,1.06274456e-09
1999-01-07 19:30:00,1.01499609e-09
1999-01-07 20:30:00,9.67702363e-10
1999-01-07 21:30:00,9.29503585e-10
1999-01-07 22:30:00,9.01536623e-10
1999-01-07 23:30:00,8.71523298e-10
1999-01-08 00:30:00,8.56744009e-10
1999-01-08 01:30:00,8.61064109e-10
1999-01-08 02:30:00,8.82892037e-10
1999-01-08 03:30:00,9.99080041e-10
1999-01-08 04:30:00,1.19962373e-09
1999-01-08 05:30:00,1.58024738e-09
1999-01-08 06:30:00,2.12094164e-09
1999-01-08 07:30:00,2.31011654e-09
1999-01-08 08:30:00,2.41107045e-09
1999-01-08 09:30:00,2.48292054e-09
1999-01-08 10:30:00,2.53385246e-09
1999-01-08 11:30:00,2.49201659e-09
1999-01-08 12:30:00,2.38560482e-09
1999-01-08 13:30:00,2.33013431e-09
1999-01-08 14:30:00,2.36378916e-09
1999-01-08 15:30:00,2.42473086e-09
1999-01-08 16:30:00,2.4656519e-09
1999-01-08 17:30:00,2.47292653e-09
1999-01-08 18:30:00,2.43926479e-09
1999-01-08 19:30:00,2.39651854e-09
1999-01-08 20:30:00,2.37378117e-09
1999-01-08 21:30:00,2.36377673e-09
1999-01-08 22:30:00,2.36013875e-09
1999-01-08 23:30:00,2.34558684e-09
1999-01-09 00:30:00,2.32557817e-09
1999-01-09 01:30:00,2.31921171e-09
1999-01-09 02:30:00,2.33103559e-09
1999-01-09 03:30:00,2.36377717e-09
1999-01-09 04:30:00,2.41834841e-09
1999-01-09 05:30:00,2.44472242e-09
1999-01-09 06:30:00,2.41016251e-09
1999-01-09 07:30:00,2.41289122e-09
1999-01-09 08:30:00,2.39015652e-09
1999-01-09 09:30:00,2.28010322e-09
1999-01-09 10:30:00,2.17642104e-09
1999-01-09 11:30:00,2.15641283e-09
1999-01-09 12:30:00,2.20734586e-09
1999-01-09 13:30:00,2.3656006e-09
1999-01-09 14:30:00,2.5647815e-09
1999-01-09 15:30:00,2.71939471e-09
1999-01-09 16:30:00,2.82580848e-09
1999-01-09 17:30:00,2.89492852e-09
1999-01-09 18:30:00,2.91856939e-09
1999-01-09 19:30:00,2.91949087e-09
1999-01-09 20:30:00,2.92404234e-09
1999-01-09 21:30:00,2.95313018e-09
1999-01-09 22:30:00,2.99046854e-09
1999-01-09 23:30:00,3.02416869e-09
1999-01-10 00:30:00,3.05955838e-09
1999-01-10 01:30:00,3.11419646e-09
1999-01-10 02:30:00,3.21431393e-09
1999-01-10 03:30:00,3.43152351e-09
1999-01-10 04:30:00,3.92174115e-09
1999-01-10 05:30:00,4.73664841e-09
1999-01-10 06:30:00,5.45151124e-09
1999-01-10 07:30:00,5.45151124e-09
1999-01-10 08:30:00,5.04223863e-09
1999-01-10 09:30:00,4.64206096e-09
1999-01-10 10:30:00,4.36557457e-09
1999-01-10 11:30:00,4.17094315e-09
1999-01-10 12:30:00,3.97812983e-09
1999-01-10 13:30:00,3.78531739e-09
1999-01-10 14:30:00,3.75257603e-09
1999-01-10 15:30:00,3.86535248e-09
1999-01-10 16:30:00,4.03269995e-09
1999-01-10 17:30:00,4.214602e-09
1999-01-10 18:30:00,4.38922143e-09
1999-01-10 19:30:00,4.69663064e-09
1999-01-10 20:30:00,5.00040187e-09
1999-01-10 21:30:00,5.24232746e-09
1999-01-10 22:30:00,5.44423528e-09
1999-01-10 23:30:00,5.65160008e-09
1999-01-11 00:30:00,5.87169779e-09
1999-01-11 01:30:00,6.06996764e-09
1999-01-11 02:30:00,6.21730623e-09
1999-01-11 03:30:00,6.32098862e-09
1999-01-11 04:30:00,6.3937482e-09
1999-01-11 05:30:00,6.428309e-09
1999-01-11 06:30:00,6.41193898e-09
1999-01-11 07:30:00,6.3555512e-09
1999-01-11 08:30:00,6.53745191e-09
1999-01-11 09:30:00,6.69752476e-09
1999-01-11 10:30:00,6.78666634e-09
1999-01-11 11:30:00,6.95764824e-09
1999-01-11 12:30:00,7.24323579e-09
1999-01-11 13:30:00,7.63618058e-09
1999-01-11 14:30:00,8.02909117e-09
1999-01-11 15:30:00,8.46204617e-09
1999-01-11 16:30:00,9.2005692e-09
1999-01-11 17:30:00,1.09395595e-08
1999-01-11 18:30:00,1.45338737e-08
1999-01-11 19:30:00,1.97034353e-08
1999-01-11 20:30:00,2.47456811e-08
1999-01-11 21:30:00,2.7816121e-08
1999-01-11 22:30:00,2.84418302e-08
1999-01-11 23:30:00,2.71976877e-08
1999-01-12 00:30:00,2.49419827e-08
1999-01-12 01:30:00,2.24972609e-08
1999-01-12 02:30:00,2.06418918e-08
1999-01-12 03:30:00,1.91939762e-08
1999-01-12 04:30:00,1.82117219e-08
1999-01-12 05:30:00,1.93176675e-08
1999-01-12 06:30:00,2.12312443e-08
1999-01-12 07:30:00,2.39087967e-08
1999-01-12 08:30:00,2.33485498e-08
1999-01-12 09:30:00,2.18351488e-08
1999-01-12 10:30:00,2.18351488e-08
1999-01-12 11:30:00,2.28828867e-08
1999-01-12 12:30:00,2.40979716e-08
1999-01-12 13:30:00,2.46946001e-08
1999-01-12 14:30:00,2.46582204e-08
1999-01-12 15:30:00,2.42580427e-08
1999-01-12 16:30:00,2.58369255e-08
1999-01-12 17:30:00,2.88055162e-08
1999-01-12 18:30:00,3.09664756e-08
1999-01-12 19:30:00,3.42552084e-08
1999-01-12 20:30:00,3.79804987e-08
1999-01-12 21:30:00,4.14875103e-08
1999-01-12 22:30:00,4.39176802e-08
1999-01-12 23:30:00,4.37139569e-08
1999-01-13 00:30:00,4.16912371e-08
1999-01-13 01:30:00,3.88827175e-08
1999-01-13 02:30:00,3.64671031e-08
1999-01-13 03:30:00,3.55066732e-08
1999-01-13 04:30:00,3.79805165e-08
1999-01-13 05:30:00,4.44706778e-08
1999-01-13 06:30:00,3.98576958e-08
1999-01-13 07:30:00,3.39787221e-08
1999-01-13 08:30:00,2.99187377e-08
1999-01-13 09:30:00,2.75031198e-08
1999-01-13 10:30:00,2.64190021e-08
1999-01-13 11:30:00,2.64917617e-08
1999-01-13 12:30:00,2.77796062e-08
1999-01-13 13:30:00,2.99041858e-08
1999-01-13 14:30:00,3.03989509e-08
1999-01-13 15:30:00,2.94312485e-08
1999-01-13 16:30:00,2.81870616e-08
1999-01-13 17:30:00,2.76559184e-08
1999-01-13 18:30:00,2.746674e-08
1999-01-13 19:30:00,2.70956662e-08
1999-01-13 20:30:00,2.65645212e-08
1999-01-13 21:30:00,2.61061359e-08
1999-01-13 22:30:00,2.63680704e-08
1999-01-13 23:30:00,2.73648766e-08
1999-01-14 00:30:00,2.83762347e-08
1999-01-14 01:30:00,2.92129716e-08
1999-01-14 02:30:00,2.97950482e-08
1999-01-14 03:30:00,2.96204234e-08
1999-01-14 04:30:00,3.01079126e-08
1999-01-14 05:30:00,2.80852017e-08
1999-01-14 06:30:00,2.56259227e-08
1999-01-14 07:30:00,2.35595508e-08
1999-01-14 08:30:00,2.20170477e-08
1999-01-14 09:30:00,2.15295586e-08
1999-01-14 10:30:00,2.20097718e-08
