Title:,"Time Series, Area-Averaged of Dust Surface Mass Concentration - PM 2.5, time average hourly 0.5 x 0.625 (hourly)"
User Start Date:,1999-01-01T00:00:00Z
User End Date:,2025-10-10T23:59:59Z
User Bounding Box:,"69.1,41.15,69.45,41.4"
Data Bounding Box:,"69.375,41.5,69.375,41.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1999-01-01T00:00:00Z&endtime=2025-10-10T23:59:59Z&bbox=69.1,41.15,69.45,41.4&data=M2T1NXAER_5_12_4_DUSMASS25&dataKeyword=dusmass25&portal=GIOVANNI&format=json"
Fill Value (mean_M2T1NXAER_5_12_4_DUSMASS25):, 1000000000000000

time, mean_M2T1NXAER_5_12_4_DUSMASS25
1999-01-01 00:30:00,2.42434908e-08
1999-01-01 01:30:00,2.4367182e-08
1999-01-01 02:30:00,2.50438461e-08
1999-01-01 03:30:00,2.57787178e-08
1999-01-01 04:30:00,2.53130583e-08
1999-01-01 05:30:00,2.35377264e-08
1999-01-01 06:30:00,2.24390533e-08
1999-01-01 07:30:00,1.91284943e-08
1999-01-01 08:30:00,1.77096897e-08
1999-01-01 09:30:00,2.52985046e-08
1999-01-01 10:30:00,3.47063178e-08
1999-01-01 11:30:00,3.5186531e-08
1999-01-01 12:30:00,3.49537004e-08
1999-01-01 13:30:00,3.63070285e-08
1999-01-01 14:30:00,3.82715371e-08
1999-01-01 15:30:00,4.28117346e-08
1999-01-01 16:30:00,5.09025995e-08
1999-01-01 17:30:00,5.95173333e-08
1999-01-01 18:30:00,6.63276296e-08
1999-01-01 19:30:00,6.87432475e-08
1999-01-01 20:30:00,6.62403181e-08
1999-01-01 21:30:00,6.09725248e-08
1999-01-01 22:30:00,5.30853868e-08
1999-01-01 23:30:00,4.48926585e-08
1999-01-02 00:30:00,4.0512532e-08
1999-01-02 01:30:00,4.54165274e-08
1999-01-02 02:30:00,7.11297616e-08
1999-01-02 03:30:00,1.05064828e-07
1999-01-02 04:30:00,1.29046384e-07
1999-01-02 05:30:00,1.28755346e-07
1999-01-02 06:30:00,1.16502633e-07
1999-01-02 07:30:00,1.0849908e-07
1999-01-02 08:30:00,1.04744686e-07
1999-01-02 09:30:00,1.0052463e-07
1999-01-02 10:30:00,9.57516022e-08
1999-01-02 11:30:00,9.12114047e-08
1999-01-02 12:30:00,8.7195076e-08
1999-01-02 13:30:00,8.30332283e-08
1999-01-02 14:30:00,7.7590812e-08
1999-01-02 15:30:00,7.05185812e-08
1999-01-02 16:30:00,6.4552296e-08
1999-01-02 17:30:00,6.12635631e-08
1999-01-02 18:30:00,6.03322476e-08
1999-01-02 19:30:00,5.90516827e-08
1999-01-02 20:30:00,5.72472452e-08
1999-01-02 21:30:00,5.47879608e-08
1999-01-02 22:30:00,5.13828198e-08
1999-01-02 23:30:00,4.79922342e-08
1999-01-03 00:30:00,4.48198989e-08
1999-01-03 01:30:00,4.15893773e-08
1999-01-03 02:30:00,3.83734218e-08
1999-01-03 03:30:00,3.48227367e-08
1999-01-03 04:30:00,3.29892202e-08
1999-01-03 05:30:00,3.19996936e-08
1999-01-03 06:30:00,3.04280547e-08
1999-01-03 07:30:00,2.89219315e-08
1999-01-03 08:30:00,2.91329343e-08
1999-01-03 09:30:00,3.09228199e-08
1999-01-03 10:30:00,3.32220225e-08
1999-01-03 11:30:00,3.50846676e-08
1999-01-03 12:30:00,3.52592906e-08
1999-01-03 13:30:00,3.25526344e-08
1999-01-03 14:30:00,2.75031198e-08
1999-01-03 15:30:00,2.1973392e-08
1999-01-03 16:30:00,1.72803993e-08
1999-01-03 17:30:00,1.36496965e-08
1999-01-03 18:30:00,1.097942e-08
1999-01-03 19:30:00,8.58562998e-09
1999-01-03 20:30:00,6.25368557e-09
1999-01-03 21:30:00,4.50199877e-09
1999-01-03 22:30:00,3.87444743e-09
1999-01-03 23:30:00,3.64707375e-09
1999-01-04 00:30:00,3.32693162e-09
1999-01-04 01:30:00,3.53520591e-09
1999-01-04 02:30:00,3.90355126e-09
1999-01-04 03:30:00,4.14365786e-09
1999-01-04 04:30:00,5.02404873e-09
1999-01-04 05:30:00,4.43469617e-09
1999-01-04 06:30:00,4.12546797e-09
1999-01-04 07:30:00,4.49290383e-09
1999-01-04 08:30:00,4.65479388e-09
1999-01-04 09:30:00,4.80758899e-09
1999-01-04 10:30:00,5.08407538e-09
1999-01-04 11:30:00,5.39694156e-09
1999-01-04 12:30:00,5.17502485e-09
1999-01-04 13:30:00,4.45834303e-09
1999-01-04 14:30:00,3.56794772e-09
1999-01-04 15:30:00,2.68755684e-09
1999-01-04 16:30:00,2.01544026e-09
1999-01-04 17:30:00,1.66255631e-09
1999-01-04 18:30:00,1.5529622e-09
1999-01-04 19:30:00,1.49111656e-09
1999-01-04 20:30:00,1.46701495e-09
1999-01-04 21:30:00,1.50839696e-09
1999-01-04 22:30:00,1.67756298e-09
1999-01-04 23:30:00,1.81489668e-09
1999-01-05 00:30:00,1.94904715e-09
1999-01-05 01:30:00,2.05091055e-09
1999-01-05 02:30:00,2.0772859e-09
1999-01-05 03:30:00,1.98360794e-09
1999-01-05 04:30:00,1.88356353e-09
1999-01-05 05:30:00,2.0090738e-09
1999-01-05 06:30:00,2.15823093e-09
1999-01-05 07:30:00,2.19824869e-09
1999-01-05 08:30:00,2.20825314e-09
1999-01-05 09:30:00,2.22280505e-09
1999-01-05 10:30:00,2.3001121e-09
1999-01-05 11:30:00,2.58660293e-09
1999-01-05 12:30:00,2.88491719e-09
1999-01-05 13:30:00,2.86218005e-09
1999-01-05 14:30:00,2.47200682e-09
1999-01-05 15:30:00,1.9390427e-09
1999-01-05 16:30:00,1.47156243e-09
1999-01-05 17:30:00,1.14050636e-09
1999-01-05 18:30:00,9.440555e-10
1999-01-05 19:30:00,8.28094926e-10
1999-01-05 20:30:00,7.48741513e-10
1999-01-05 21:30:00,6.88487489e-10
1999-01-05 22:30:00,6.53017196e-10
1999-01-05 23:30:00,6.50061338e-10
1999-01-06 00:30:00,6.64840627e-10
1999-01-06 01:30:00,6.99401426e-10
1999-01-06 02:30:00,7.70569386e-10
1999-01-06 03:30:00,8.03765943e-10
1999-01-06 04:30:00,8.46512249e-10
1999-01-06 05:30:00,1.0131771e-09
1999-01-06 06:30:00,1.14823706e-09
1999-01-06 07:30:00,1.17597665e-09
1999-01-06 08:30:00,1.19098331e-09
1999-01-06 09:30:00,1.22236088e-09
1999-01-06 10:30:00,1.2887541e-09
1999-01-06 11:30:00,1.43154466e-09
1999-01-06 12:30:00,1.52567736e-09
1999-01-06 13:30:00,1.45746526e-09
1999-01-06 14:30:00,1.28966349e-09
1999-01-06 15:30:00,1.1323209e-09
1999-01-06 16:30:00,1.02272679e-09
1999-01-06 17:30:00,9.34960664e-10
1999-01-06 18:30:00,8.40827852e-10
1999-01-06 19:30:00,7.34416972e-10
1999-01-06 20:30:00,6.37328412e-10
1999-01-06 21:30:00,5.85714588e-10
1999-01-06 22:30:00,5.7411853e-10
1999-01-06 23:30:00,5.78893433e-10
1999-01-07 00:30:00,5.82076665e-10
1999-01-07 01:30:00,5.75255454e-10
1999-01-07 02:30:00,5.60930913e-10
1999-01-07 03:30:00,5.44332579e-10
1999-01-07 04:30:00,5.29553457e-10
1999-01-07 05:30:00,5.63888269e-10
1999-01-07 06:30:00,6.71207145e-10
1999-01-07 07:30:00,7.42602979e-10
1999-01-07 08:30:00,7.80348619e-10
1999-01-07 09:30:00,8.0194712e-10
1999-01-07 10:30:00,8.26052449e-10
1999-01-07 11:30:00,8.57210303e-10
1999-01-07 12:30:00,8.87666829e-10
1999-01-07 13:30:00,9.11769882e-10
1999-01-07 14:30:00,9.35878819e-10
1999-01-07 15:30:00,9.65883373e-10
1999-01-07 16:30:00,9.93622962e-10
1999-01-07 17:30:00,1.01135889e-09
1999-01-07 18:30:00,1.01590558e-09
1999-01-07 19:30:00,1.00635589e-09
1999-01-07 20:30:00,9.84528015e-10
1999-01-07 21:30:00,9.55878932e-10
1999-01-07 22:30:00,9.40417522e-10
1999-01-07 23:30:00,9.44964995e-10
1999-01-08 00:30:00,9.58152668e-10
1999-01-08 01:30:00,9.7497832e-10
1999-01-08 02:30:00,9.93623073e-10
1999-01-08 03:30:00,1.02136266e-09
1999-01-08 04:30:00,1.07183973e-09
1999-01-08 05:30:00,1.15869658e-09
1999-01-08 06:30:00,1.26783561e-09
1999-01-08 07:30:00,1.48247636e-09
1999-01-08 08:30:00,2.07000994e-09
1999-01-08 09:30:00,2.46109266e-09
1999-01-08 10:30:00,2.47382581e-09
1999-01-08 11:30:00,2.5083875e-09
1999-01-08 12:30:00,2.58387467e-09
1999-01-08 13:30:00,2.6584619e-09
1999-01-08 14:30:00,2.68029332e-09
1999-01-08 15:30:00,2.63027666e-09
1999-01-08 16:30:00,2.57661026e-09
1999-01-08 17:30:00,2.53568166e-09
1999-01-08 18:30:00,2.48746801e-09
1999-01-08 19:30:00,2.41379894e-09
1999-01-08 20:30:00,2.28101271e-09
1999-01-08 21:30:00,2.10002327e-09
1999-01-08 22:30:00,1.9053914e-09
1999-01-08 23:30:00,1.73122316e-09
1999-01-09 00:30:00,1.6411833e-09
1999-01-09 01:30:00,1.64118352e-09
1999-01-09 02:30:00,1.67574465e-09
1999-01-09 03:30:00,1.73258796e-09
1999-01-09 04:30:00,1.77351656e-09
1999-01-09 05:30:00,1.80261928e-09
1999-01-09 06:30:00,1.81671722e-09
1999-01-09 07:30:00,1.83854543e-09
1999-01-09 08:30:00,1.85628324e-09
1999-01-09 09:30:00,1.86719262e-09
1999-01-09 10:30:00,1.88265425e-09
1999-01-09 11:30:00,1.8853834e-09
1999-01-09 12:30:00,1.86810434e-09
1999-01-09 13:30:00,1.82263216e-09
1999-01-09 14:30:00,1.75760484e-09
1999-01-09 15:30:00,1.71258407e-09
1999-01-09 16:30:00,1.69121384e-09
1999-01-09 17:30:00,1.68393643e-09
1999-01-09 18:30:00,1.68211145e-09
1999-01-09 19:30:00,1.68121395e-09
1999-01-09 20:30:00,1.67757974e-09
1999-01-09 21:30:00,1.67801861e-09
1999-01-09 22:30:00,1.68443426e-09
1999-01-09 23:30:00,1.69812531e-09
1999-01-10 00:30:00,1.73215098e-09
1999-01-10 01:30:00,1.79815762e-09
1999-01-10 02:30:00,1.88918015e-09
1999-01-10 03:30:00,2.00088834e-09
1999-01-10 04:30:00,2.1109372e-09
1999-01-10 05:30:00,2.19188245e-09
1999-01-10 06:30:00,2.24554242e-09
1999-01-10 07:30:00,2.29738362e-09
1999-01-10 08:30:00,2.35650077e-09
1999-01-10 09:30:00,2.41107045e-09
1999-01-10 10:30:00,2.45654541e-09
1999-01-10 11:30:00,2.50020116e-09
1999-01-10 12:30:00,2.55204213e-09
1999-01-10 13:30:00,2.61388822e-09
1999-01-10 14:30:00,2.69392419e-09
1999-01-10 15:30:00,2.79214873e-09
1999-01-10 16:30:00,2.90765501e-09
1999-01-10 17:30:00,3.06136294e-09
1999-01-10 18:30:00,3.25599103e-09
1999-01-10 19:30:00,3.4497134e-09
1999-01-10 20:30:00,3.54521035e-09
1999-01-10 21:30:00,3.55521479e-09
1999-01-10 22:30:00,3.50792106e-09
1999-01-10 23:30:00,3.43879947e-09
1999-01-11 00:30:00,3.35057848e-09
1999-01-11 01:30:00,3.25417204e-09
1999-01-11 02:30:00,3.14503312e-09
1999-01-11 03:30:00,3.06772607e-09
1999-01-11 04:30:00,3.00860892e-09
1999-01-11 05:30:00,2.96131519e-09
1999-01-11 06:30:00,2.90401769e-09
1999-01-11 07:30:00,2.86036284e-09
1999-01-11 08:30:00,2.88401147e-09
1999-01-11 09:30:00,2.88310398e-09
1999-01-11 10:30:00,2.84855428e-09
1999-01-11 11:30:00,2.83581825e-09
1999-01-11 12:30:00,2.87038504e-09
1999-01-11 13:30:00,2.97320168e-09
1999-01-11 14:30:00,3.16238524e-09
1999-01-11 15:30:00,3.43981643e-09
1999-01-11 16:30:00,3.80362719e-09
1999-01-11 17:30:00,4.17837542e-09
1999-01-11 18:30:00,4.49487114e-09
1999-01-11 19:30:00,4.75316186e-09
1999-01-11 20:30:00,4.98781905e-09
1999-01-11 21:30:00,5.29885158e-09
1999-01-11 22:30:00,5.79541126e-09
1999-01-11 23:30:00,6.20291152e-09
1999-01-12 00:30:00,5.95355232e-09
1999-01-12 01:30:00,6.04450179e-09
1999-01-12 02:30:00,7.32688932e-09
1999-01-12 03:30:00,9.99352778e-09
1999-01-12 04:30:00,1.41553755e-08
1999-01-12 05:30:00,2.04454409e-08
1999-01-12 06:30:00,2.65936251e-08
1999-01-12 07:30:00,3.38332029e-08
1999-01-12 08:30:00,3.96976247e-08
1999-01-12 09:30:00,4.497997e-08
1999-01-12 10:30:00,4.87198122e-08
1999-01-12 11:30:00,4.71773092e-08
1999-01-12 12:30:00,4.14729584e-08
1999-01-12 13:30:00,3.66417225e-08
1999-01-12 14:30:00,3.83734005e-08
1999-01-12 15:30:00,4.58094291e-08
1999-01-12 16:30:00,4.566391e-08
1999-01-12 17:30:00,4.30154614e-08
1999-01-12 18:30:00,4.12692316e-08
1999-01-12 19:30:00,4.566391e-08
1999-01-12 20:30:00,5.10917744e-08
1999-01-12 21:30:00,5.6825229e-08
1999-01-12 22:30:00,6.15546014e-08
1999-01-12 23:30:00,6.53380994e-08
1999-01-13 00:30:00,6.79574441e-08
1999-01-13 01:30:00,6.91507012e-08
1999-01-13 02:30:00,6.99365117e-08
1999-01-13 03:30:00,6.9179805e-08
1999-01-13 04:30:00,6.51052829e-08
1999-01-13 05:30:00,5.67524943e-08
1999-01-13 06:30:00,4.58821887e-08
1999-01-13 07:30:00,4.10509529e-08
1999-01-13 08:30:00,3.95375537e-08
1999-01-13 09:30:00,3.9144652e-08
1999-01-13 10:30:00,3.9988663e-08
1999-01-13 11:30:00,4.1545718e-08
1999-01-13 12:30:00,4.19386197e-08
1999-01-13 13:30:00,4.01196303e-08
1999-01-13 14:30:00,3.63652362e-08
1999-01-13 15:30:00,3.18977982e-08
1999-01-13 16:30:00,2.83980643e-08
1999-01-13 17:30:00,2.59970001e-08
1999-01-13 18:30:00,2.42871465e-08
1999-01-13 19:30:00,2.28610588e-08
1999-01-13 20:30:00,2.12749001e-08
1999-01-13 21:30:00,1.99652277e-08
1999-01-13 22:30:00,1.90848368e-08
1999-01-13 23:30:00,1.84736564e-08
1999-01-14 00:30:00,1.79279596e-08
1999-01-14 01:30:00,1.71858137e-08
1999-01-14 02:30:00,1.63272507e-08
1999-01-14 03:30:00,1.53449946e-08
1999-01-14 04:30:00,1.80589286e-08
1999-01-14 05:30:00,1.89757028e-08
1999-01-14 06:30:00,1.67201506e-08
1999-01-14 07:30:00,1.50248525e-08
1999-01-14 08:30:00,1.37042662e-08
1999-01-14 09:30:00,1.24491635e-08
1999-01-14 10:30:00,1.16524461e-08
