Title:,"Time Series, Area-Averaged of Dust Surface Mass Concentration - PM 2.5, time average hourly 0.5 x 0.625 (hourly)"
User Start Date:,1999-01-01T00:00:00Z
User End Date:,2025-10-10T23:59:59Z
User Bounding Box:,"71.5,40.9,71.75,41.15"
Data Bounding Box:,"71.875,41,71.875,41"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1999-01-01T00:00:00Z&endtime=2025-10-10T23:59:59Z&bbox=71.5,40.9,71.75,41.15&data=M2T1NXAER_5_12_4_DUSMASS25&dataKeyword=dusmass25&portal=GIOVANNI&format=json"
Fill Value (mean_M2T1NXAER_5_12_4_DUSMASS25):, 1000000000000000

time, mean_M2T1NXAER_5_12_4_DUSMASS25
1999-01-01 00:30:00,1.97087502e-09
1999-01-01 01:30:00,2.07273843e-09
1999-01-01 02:30:00,2.35468178e-09
1999-01-01 03:30:00,2.73485057e-09
1999-01-01 04:30:00,3.10137893e-09
1999-01-01 05:30:00,3.58977936e-09
1999-01-01 06:30:00,4.58749128e-09
1999-01-01 07:30:00,5.10772491e-09
1999-01-01 08:30:00,5.08226483e-09
1999-01-01 09:30:00,4.59840521e-09
1999-01-01 10:30:00,4.14183887e-09
1999-01-01 11:30:00,4.11637302e-09
1999-01-01 12:30:00,4.36375558e-09
1999-01-01 13:30:00,4.72391548e-09
1999-01-01 14:30:00,5.2350515e-09
1999-01-01 15:30:00,5.59703039e-09
1999-01-01 16:30:00,6.008122e-09
1999-01-01 17:30:00,6.90670277e-09
1999-01-01 18:30:00,8.33824743e-09
1999-01-01 19:30:00,1.0648364e-08
1999-01-01 20:30:00,1.35951268e-08
1999-01-01 21:30:00,1.67274266e-08
1999-01-01 22:30:00,2.05764081e-08
1999-01-01 23:30:00,2.15077307e-08
1999-01-02 00:30:00,1.91575964e-08
1999-01-02 01:30:00,1.60434865e-08
1999-01-02 02:30:00,1.35296432e-08
1999-01-02 03:30:00,1.12486305e-08
1999-01-02 04:30:00,9.36779543e-09
1999-01-02 05:30:00,8.36735214e-09
1999-01-02 06:30:00,9.78616388e-09
1999-01-02 07:30:00,1.50321302e-08
1999-01-02 08:30:00,2.23008119e-08
1999-01-02 09:30:00,2.86017894e-08
1999-01-02 10:30:00,3.33966454e-08
1999-01-02 11:30:00,3.75439413e-08
1999-01-02 12:30:00,4.00177669e-08
1999-01-02 13:30:00,4.05416358e-08
1999-01-02 14:30:00,4.03233571e-08
1999-01-02 15:30:00,4.02651494e-08
1999-01-02 16:30:00,4.0337909e-08
1999-01-02 17:30:00,4.02797049e-08
1999-01-02 18:30:00,4.03379161e-08
1999-01-02 19:30:00,4.05707503e-08
1999-01-02 20:30:00,4.09054444e-08
1999-01-02 21:30:00,4.12983354e-08
1999-01-02 22:30:00,4.16475885e-08
1999-01-02 23:30:00,4.18076702e-08
1999-01-03 00:30:00,4.17639967e-08
1999-01-03 01:30:00,4.15166177e-08
1999-01-03 02:30:00,4.09491108e-08
1999-01-03 03:30:00,3.88245134e-08
1999-01-03 04:30:00,3.19560343e-08
1999-01-03 05:30:00,2.86163715e-08
1999-01-03 06:30:00,2.57641659e-08
1999-01-03 07:30:00,2.27082637e-08
1999-01-03 08:30:00,2.02708179e-08
1999-01-03 09:30:00,1.88301783e-08
1999-01-03 10:30:00,1.86410034e-08
1999-01-03 11:30:00,1.95213943e-08
1999-01-03 12:30:00,2.05036486e-08
1999-01-03 13:30:00,2.11875886e-08
1999-01-03 14:30:00,2.15950422e-08
1999-01-03 15:30:00,2.19297362e-08
1999-01-03 16:30:00,2.19952199e-08
1999-01-03 17:30:00,2.17260094e-08
1999-01-03 18:30:00,2.09620339e-08
1999-01-03 19:30:00,1.97032932e-08
1999-01-03 20:30:00,1.81753421e-08
1999-01-03 21:30:00,1.66619429e-08
1999-01-03 22:30:00,1.55851012e-08
1999-01-03 23:30:00,1.51558197e-08
1999-01-04 00:30:00,1.51339918e-08
1999-01-04 01:30:00,1.51558197e-08
1999-01-04 02:30:00,1.50030246e-08
1999-01-04 03:30:00,1.46355887e-08
1999-01-04 04:30:00,1.32458808e-08
1999-01-04 05:30:00,9.84800863e-09
1999-01-04 06:30:00,8.13088263e-09
1999-01-04 07:30:00,7.10315362e-09
1999-01-04 08:30:00,6.32644515e-09
1999-01-04 09:30:00,5.69343683e-09
1999-01-04 10:30:00,5.10772225e-09
1999-01-04 11:30:00,4.58567229e-09
1999-01-04 12:30:00,4.18549462e-09
1999-01-04 13:30:00,3.9817678e-09
1999-01-04 14:30:00,3.97994881e-09
1999-01-04 15:30:00,4.04907041e-09
1999-01-04 16:30:00,4.11091605e-09
1999-01-04 17:30:00,4.05270839e-09
1999-01-04 18:30:00,3.82715371e-09
1999-01-04 19:30:00,3.49064067e-09
1999-01-04 20:30:00,3.12229531e-09
1999-01-04 21:30:00,2.78487278e-09
1999-01-04 22:30:00,2.49019649e-09
1999-01-04 23:30:00,2.23280949e-09
1999-01-05 00:30:00,1.99270289e-09
1999-01-05 01:30:00,1.75668902e-09
1999-01-05 02:30:00,1.52749635e-09
1999-01-05 03:30:00,1.32331479e-09
1999-01-05 04:30:00,1.19325705e-09
1999-01-05 05:30:00,1.14050636e-09
1999-01-05 06:30:00,1.27147359e-09
1999-01-05 07:30:00,1.42290446e-09
1999-01-05 08:30:00,1.49293555e-09
1999-01-05 09:30:00,1.5375009e-09
1999-01-05 10:30:00,1.59116109e-09
1999-01-05 11:30:00,1.6748346e-09
1999-01-05 12:30:00,1.72940418e-09
1999-01-05 13:30:00,1.70621217e-09
1999-01-05 14:30:00,1.60298452e-09
1999-01-05 15:30:00,1.45655576e-09
1999-01-05 16:30:00,1.29421096e-09
1999-01-05 17:30:00,1.19871402e-09
1999-01-05 18:30:00,1.2360033e-09
1999-01-05 19:30:00,1.38379619e-09
1999-01-05 20:30:00,1.5538717e-09
1999-01-05 21:30:00,1.68483894e-09
1999-01-05 22:30:00,1.75623427e-09
1999-01-05 23:30:00,1.82490112e-09
1999-01-06 00:30:00,1.94540917e-09
1999-01-06 01:30:00,2.11548468e-09
1999-01-06 02:30:00,2.27009878e-09
1999-01-06 03:30:00,2.36195774e-09
1999-01-06 04:30:00,2.37105269e-09
1999-01-06 05:30:00,2.3346729e-09
1999-01-06 06:30:00,2.24190444e-09
1999-01-06 07:30:00,1.93813321e-09
1999-01-06 08:30:00,1.85173121e-09
1999-01-06 09:30:00,1.83445081e-09
1999-01-06 10:30:00,1.86537363e-09
1999-01-06 11:30:00,1.89538696e-09
1999-01-06 12:30:00,1.90811988e-09
1999-01-06 13:30:00,1.90630089e-09
1999-01-06 14:30:00,1.88356353e-09
1999-01-06 15:30:00,1.83945303e-09
1999-01-06 16:30:00,1.77442416e-09
1999-01-06 17:30:00,1.68893177e-09
1999-01-06 18:30:00,1.587523e-09
1999-01-06 19:30:00,1.48838808e-09
1999-01-06 20:30:00,1.40835255e-09
1999-01-06 21:30:00,1.3810677e-09
1999-01-06 22:30:00,1.40744305e-09
1999-01-06 23:30:00,1.43700163e-09
1999-01-07 00:30:00,1.48202173e-09
1999-01-07 01:30:00,1.55205282e-09
1999-01-07 02:30:00,1.64391178e-09
1999-01-07 03:30:00,1.7257662e-09
1999-01-07 04:30:00,1.79716175e-09
1999-01-07 05:30:00,1.86628468e-09
1999-01-07 06:30:00,2.15004547e-09
1999-01-07 07:30:00,2.38014808e-09
1999-01-07 08:30:00,2.51566457e-09
1999-01-07 09:30:00,2.61570698e-09
1999-01-07 10:30:00,2.68028466e-09
1999-01-07 11:30:00,2.71576273e-09
1999-01-07 12:30:00,2.71938916e-09
1999-01-07 13:30:00,2.67846345e-09
1999-01-07 14:30:00,2.6029825e-09
1999-01-07 15:30:00,2.48655851e-09
1999-01-07 16:30:00,2.36286724e-09
1999-01-07 17:30:00,2.29283681e-09
1999-01-07 18:30:00,2.33558239e-09
1999-01-07 19:30:00,2.47564458e-09
1999-01-07 20:30:00,2.62753019e-09
1999-01-07 21:30:00,2.7457645e-09
1999-01-07 22:30:00,2.82489054e-09
1999-01-07 23:30:00,2.86763679e-09
1999-01-08 00:30:00,2.87855073e-09
1999-01-08 01:30:00,2.87855073e-09
1999-01-08 02:30:00,2.85854185e-09
1999-01-08 03:30:00,2.82034307e-09
1999-01-08 04:30:00,2.81488632e-09
1999-01-08 05:30:00,2.79032997e-09
1999-01-08 06:30:00,2.66663847e-09
1999-01-08 07:30:00,2.47928256e-09
1999-01-08 08:30:00,2.36559572e-09
1999-01-08 09:30:00,2.34467734e-09
1999-01-08 10:30:00,2.37014341e-09
1999-01-08 11:30:00,2.35195441e-09
1999-01-08 12:30:00,2.28101293e-09
1999-01-08 13:30:00,2.17915819e-09
1999-01-08 14:30:00,2.07275086e-09
1999-01-08 15:30:00,1.97271199e-09
1999-01-08 16:30:00,1.88175631e-09
1999-01-08 17:30:00,1.80581217e-09
1999-01-08 18:30:00,1.75350579e-09
1999-01-08 19:30:00,1.71212378e-09
1999-01-08 20:30:00,1.67165126e-09
1999-01-08 21:30:00,1.63026925e-09
1999-01-08 22:30:00,1.59934643e-09
1999-01-08 23:30:00,1.59207048e-09
1999-01-09 00:30:00,1.59343483e-09
1999-01-09 01:30:00,1.58797808e-09
1999-01-09 02:30:00,1.58343094e-09
1999-01-09 03:30:00,1.57660962e-09
1999-01-09 04:30:00,1.54205015e-09
1999-01-09 05:30:00,1.41562928e-09
1999-01-09 06:30:00,1.29239353e-09
1999-01-09 07:30:00,1.22691024e-09
1999-01-09 08:30:00,1.18143817e-09
1999-01-09 09:30:00,1.14414433e-09
1999-01-09 10:30:00,1.10412668e-09
1999-01-09 11:30:00,1.06865727e-09
1999-01-09 12:30:00,1.04728526e-09
1999-01-09 13:30:00,1.05683762e-09
1999-01-09 14:30:00,1.0868525e-09
1999-01-09 15:30:00,1.11459131e-09
1999-01-09 16:30:00,1.12596288e-09
1999-01-09 17:30:00,1.14324183e-09
1999-01-09 18:30:00,1.23327581e-09
1999-01-09 19:30:00,1.41836998e-09
1999-01-09 20:30:00,1.57708058e-09
1999-01-09 21:30:00,1.69438952e-09
1999-01-09 22:30:00,1.79402837e-09
1999-01-09 23:30:00,1.91549465e-09
1999-01-10 00:30:00,2.02091543e-09
1999-01-10 01:30:00,2.07373452e-09
1999-01-10 02:30:00,2.11928231e-09
1999-01-10 03:30:00,2.18187779e-09
1999-01-10 04:30:00,2.22644303e-09
1999-01-10 05:30:00,2.22462426e-09
1999-01-10 06:30:00,2.20188667e-09
1999-01-10 07:30:00,2.15186446e-09
1999-01-10 08:30:00,2.07091944e-09
1999-01-10 09:30:00,1.97815098e-09
1999-01-10 10:30:00,1.90266314e-09
1999-01-10 11:30:00,1.83581539e-09
1999-01-10 12:30:00,1.7430466e-09
1999-01-10 13:30:00,1.70211978e-09
1999-01-10 14:30:00,1.69848224e-09
1999-01-10 15:30:00,1.7189451e-09
1999-01-10 16:30:00,1.75305159e-09
1999-01-10 17:30:00,1.79716519e-09
1999-01-10 18:30:00,1.83945303e-09
1999-01-10 19:30:00,1.87264959e-09
1999-01-10 20:30:00,1.89811544e-09
1999-01-10 21:30:00,1.92630978e-09
1999-01-10 22:30:00,1.95814209e-09
1999-01-10 23:30:00,1.98906491e-09
1999-01-11 00:30:00,2.0081643e-09
1999-01-11 01:30:00,2.0081643e-09
1999-01-11 02:30:00,1.99088435e-09
1999-01-11 03:30:00,1.96905647e-09
1999-01-11 04:30:00,1.95450456e-09
1999-01-11 05:30:00,1.91994376e-09
1999-01-11 06:30:00,1.82717597e-09
1999-01-11 07:30:00,1.66164893e-09
1999-01-11 08:30:00,1.52477175e-09
1999-01-11 09:30:00,1.49566981e-09
1999-01-11 10:30:00,1.50159274e-09
1999-01-11 11:30:00,1.5197793e-09
1999-01-11 12:30:00,1.55298197e-09
1999-01-11 13:30:00,1.59213398e-09
1999-01-11 14:30:00,1.62306535e-09
1999-01-11 15:30:00,1.63355984e-09
1999-01-11 16:30:00,1.61947566e-09
1999-01-11 17:30:00,1.59131786e-09
1999-01-11 18:30:00,1.56356961e-09
1999-01-11 19:30:00,1.5440097e-09
1999-01-11 20:30:00,1.53628654e-09
1999-01-11 21:30:00,1.54036472e-09
1999-01-11 22:30:00,1.54670687e-09
1999-01-11 23:30:00,1.54993673e-09
1999-01-12 00:30:00,1.55250746e-09
1999-01-12 01:30:00,1.55796442e-09
1999-01-12 02:30:00,1.56569513e-09
1999-01-12 03:30:00,1.58479452e-09
1999-01-12 04:30:00,1.63208835e-09
1999-01-12 05:30:00,1.88174498e-09
1999-01-12 06:30:00,2.14731766e-09
1999-01-12 07:30:00,2.50383958e-09
1999-01-12 08:30:00,2.83762458e-09
1999-01-12 09:30:00,3.20505933e-09
1999-01-12 10:30:00,4.26189217e-09
1999-01-12 11:30:00,5.03860109e-09
1999-01-12 12:30:00,7.21593096e-09
1999-01-12 13:30:00,8.45466275e-09
1999-01-12 14:30:00,8.92032403e-09
1999-01-12 15:30:00,9.30594979e-09
1999-01-12 16:30:00,9.72795533e-09
1999-01-12 17:30:00,9.57516022e-09
1999-01-12 18:30:00,9.25138011e-09
1999-01-12 19:30:00,9.13496478e-09
1999-01-12 20:30:00,9.55697121e-09
1999-01-12 21:30:00,1.08047971e-08
1999-01-12 22:30:00,1.21981429e-08
1999-01-12 23:30:00,1.28529809e-08
1999-01-13 00:30:00,1.35769369e-08
1999-01-13 01:30:00,1.44973464e-08
1999-01-13 02:30:00,1.55632769e-08
1999-01-13 03:30:00,1.65091496e-08
1999-01-13 04:30:00,1.76223853e-08
1999-01-13 05:30:00,1.66837957e-08
1999-01-13 06:30:00,1.50394044e-08
1999-01-13 07:30:00,1.38497853e-08
1999-01-13 08:30:00,1.37224561e-08
1999-01-13 09:30:00,1.38788891e-08
1999-01-13 10:30:00,1.41662895e-08
1999-01-13 11:30:00,1.44937076e-08
1999-01-13 12:30:00,1.47156243e-08
1999-01-13 13:30:00,1.47738319e-08
1999-01-13 14:30:00,1.45955719e-08
1999-01-13 15:30:00,1.42790668e-08
1999-01-13 16:30:00,1.3860701e-08
1999-01-13 17:30:00,1.34859901e-08
1999-01-13 18:30:00,1.31913112e-08
1999-01-13 19:30:00,1.29766704e-08
1999-01-13 20:30:00,1.28129614e-08
1999-01-13 21:30:00,1.2696546e-08
1999-01-13 22:30:00,1.26565283e-08
1999-01-13 23:30:00,1.26819941e-08
1999-01-14 00:30:00,1.27110988e-08
1999-01-14 01:30:00,1.27583935e-08
1999-01-14 02:30:00,1.2849342e-08
1999-01-14 03:30:00,1.29984983e-08
1999-01-14 04:30:00,1.46101238e-08
1999-01-14 05:30:00,1.47374575e-08
1999-01-14 06:30:00,1.36460585e-08
1999-01-14 07:30:00,1.25764927e-08
1999-01-14 08:30:00,1.16306182e-08
1999-01-14 09:30:00,1.08484528e-08
1999-01-14 10:30:00,1.04337232e-08
