Title:,"Time Series, Area-Averaged of Dust Surface Mass Concentration - PM 2.5, time average hourly 0.5 x 0.625 (hourly)"
User Start Date:,1999-01-01T00:00:00Z
User End Date:,2025-10-10T23:59:59Z
User Bounding Box:,"60.55,41.5,60.8,41.75"
Data Bounding Box:,"60.625,41.5,60.625,41.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1999-01-01T00:00:00Z&endtime=2025-10-10T23:59:59Z&bbox=60.55,41.5,60.8,41.75&data=M2T1NXAER_5_12_4_DUSMASS25&dataKeyword=dusmass25&portal=GIOVANNI&format=json"
Fill Value (mean_M2T1NXAER_5_12_4_DUSMASS25):, 1000000000000000

time, mean_M2T1NXAER_5_12_4_DUSMASS25
1999-01-01 00:30:00,1.24564394e-07
1999-01-01 01:30:00,1.07975211e-07
1999-01-01 02:30:00,8.95524863e-08
1999-01-01 03:30:00,7.77363311e-08
1999-01-01 04:30:00,7.39528332e-08
1999-01-01 05:30:00,6.7142544e-08
1999-01-01 06:30:00,4.93746484e-08
1999-01-01 07:30:00,3.50555673e-08
1999-01-01 08:30:00,3.07336521e-08
1999-01-01 09:30:00,3.41242412e-08
1999-01-01 10:30:00,4.40486474e-08
1999-01-01 11:30:00,6.12344593e-08
1999-01-01 12:30:00,9.36852302e-08
1999-01-01 13:30:00,1.59081537e-07
1999-01-01 14:30:00,2.1874439e-07
1999-01-01 15:30:00,2.14437023e-07
1999-01-01 16:30:00,1.94995664e-07
1999-01-01 17:30:00,2.12749001e-07
1999-01-01 18:30:00,2.59838998e-07
1999-01-01 19:30:00,2.93483026e-07
1999-01-01 20:30:00,3.24565917e-07
1999-01-01 21:30:00,3.54251824e-07
1999-01-01 22:30:00,3.86266038e-07
1999-01-01 23:30:00,4.0710438e-07
1999-01-02 00:30:00,4.04776074e-07
1999-01-02 01:30:00,3.8894359e-07
1999-01-02 02:30:00,3.71132046e-07
1999-01-02 03:30:00,3.52505594e-07
1999-01-02 04:30:00,2.89757736e-07
1999-01-02 05:30:00,2.3614848e-07
1999-01-02 06:30:00,1.86963007e-07
1999-01-02 07:30:00,1.45635568e-07
1999-01-02 08:30:00,1.18365278e-07
1999-01-02 09:30:00,9.9738827e-08
1999-01-02 10:30:00,8.65547918e-08
1999-01-02 11:30:00,7.65139703e-08
1999-01-02 12:30:00,7.27304723e-08
1999-01-02 13:30:00,7.11588655e-08
1999-01-02 14:30:00,6.99656084e-08
1999-01-02 15:30:00,6.78992365e-08
1999-01-02 16:30:00,6.58328645e-08
1999-01-02 17:30:00,6.56873453e-08
1999-01-02 18:30:00,6.85686317e-08
1999-01-02 19:30:00,7.36326982e-08
1999-01-02 20:30:00,8.0355683e-08
1999-01-02 21:30:00,8.71077646e-08
1999-01-02 22:30:00,9.12114118e-08
1999-01-02 23:30:00,9.15315681e-08
1999-01-03 00:30:00,8.86211637e-08
1999-01-03 01:30:00,8.35571043e-08
1999-01-03 02:30:00,7.75326257e-08
1999-01-03 03:30:00,7.11879764e-08
1999-01-03 04:30:00,6.13217992e-08
1999-01-03 05:30:00,3.83879843e-08
1999-01-03 06:30:00,2.42216629e-08
1999-01-03 07:30:00,1.92085281e-08
1999-01-03 08:30:00,1.71203283e-08
1999-01-03 09:30:00,1.60944182e-08
1999-01-03 10:30:00,1.58615876e-08
1999-01-03 11:30:00,1.66401151e-08
1999-01-03 12:30:00,1.94340828e-08
1999-01-03 13:30:00,2.63535185e-08
1999-01-03 14:30:00,4.18076525e-08
1999-01-03 15:30:00,6.39411155e-08
1999-01-03 16:30:00,8.28295015e-08
1999-01-03 17:30:00,9.51404218e-08
1999-01-03 18:30:00,1.01135811e-07
1999-01-03 19:30:00,1.05646905e-07
1999-01-03 20:30:00,1.11758709e-07
1999-01-03 21:30:00,1.19121978e-07
1999-01-03 22:30:00,1.28755346e-07
1999-01-03 23:30:00,1.41677447e-07
1999-01-04 00:30:00,1.59663614e-07
1999-01-04 01:30:00,1.80967618e-07
1999-01-04 02:30:00,1.99652277e-07
1999-01-04 03:30:00,2.08150595e-07
1999-01-04 04:30:00,1.86089892e-07
1999-01-04 05:30:00,1.42958015e-07
1999-01-04 06:30:00,1.13941496e-07
1999-01-04 07:30:00,1.05967047e-07
1999-01-04 08:30:00,1.00873876e-07
1999-01-04 09:30:00,9.01345629e-08
1999-01-04 10:30:00,8.06176104e-08
1999-01-04 11:30:00,7.64266588e-08
1999-01-04 12:30:00,7.83184078e-08
1999-01-04 13:30:00,8.11414793e-08
1999-01-04 14:30:00,8.42264853e-08
1999-01-04 15:30:00,8.7195076e-08
1999-01-04 16:30:00,8.9436071e-08
1999-01-04 17:30:00,9.18516889e-08
1999-01-04 18:30:00,9.6304575e-08
1999-01-04 19:30:00,1.02445483e-07
1999-01-04 20:30:00,1.08382665e-07
1999-01-04 21:30:00,1.11554982e-07
1999-01-04 22:30:00,1.12515409e-07
1999-01-04 23:30:00,1.12311682e-07
1999-01-05 00:30:00,1.1199154e-07
1999-01-05 01:30:00,1.11904228e-07
1999-01-05 02:30:00,1.12253474e-07
1999-01-05 03:30:00,1.12748239e-07
1999-01-05 04:30:00,1.11263944e-07
1999-01-05 05:30:00,9.89530236e-08
1999-01-05 06:30:00,6.99947122e-08
1999-01-05 07:30:00,5.55446604e-08
1999-01-05 08:30:00,4.81522875e-08
1999-01-05 09:30:00,4.22733137e-08
1999-01-05 10:30:00,3.98867996e-08
1999-01-05 11:30:00,3.88390617e-08
1999-01-05 12:30:00,3.84752639e-08
1999-01-05 13:30:00,3.78495315e-08
1999-01-05 14:30:00,3.78495315e-08
1999-01-05 15:30:00,3.84752639e-08
1999-01-05 16:30:00,3.95230018e-08
1999-01-05 17:30:00,4.08181222e-08
1999-01-05 18:30:00,4.23169695e-08
1999-01-05 19:30:00,4.37576091e-08
1999-01-05 20:30:00,4.48198989e-08
1999-01-05 21:30:00,4.56348062e-08
1999-01-05 22:30:00,4.65079211e-08
1999-01-05 23:30:00,4.76720743e-08
1999-01-06 00:30:00,4.97384463e-08
1999-01-06 01:30:00,5.37111191e-08
1999-01-06 02:30:00,6.09143171e-08
1999-01-06 03:30:00,7.05185812e-08
1999-01-06 04:30:00,7.9133315e-08
1999-01-06 05:30:00,8.43720045e-08
1999-01-06 06:30:00,8.32660589e-08
1999-01-06 07:30:00,5.69853e-08
1999-01-06 08:30:00,4.34665708e-08
1999-01-06 09:30:00,4.15166141e-08
1999-01-06 10:30:00,4.09927452e-08
1999-01-06 11:30:00,4.67698555e-08
1999-01-06 12:30:00,5.28525561e-08
1999-01-06 13:30:00,5.69707481e-08
1999-01-06 14:30:00,5.87460818e-08
1999-01-06 15:30:00,5.86442184e-08
1999-01-06 16:30:00,5.96919563e-08
1999-01-06 17:30:00,6.4028427e-08
1999-01-06 18:30:00,6.9529051e-08
1999-01-06 19:30:00,7.415656e-08
1999-01-06 20:30:00,7.75326043e-08
1999-01-06 21:30:00,7.95989763e-08
1999-01-06 22:30:00,8.09086487e-08
1999-01-06 23:30:00,8.2392944e-08
1999-01-07 00:30:00,8.47212505e-08
1999-01-07 01:30:00,8.68458301e-08
1999-01-07 02:30:00,8.85047484e-08
1999-01-07 03:30:00,8.83301254e-08
1999-01-07 04:30:00,8.71077646e-08
1999-01-07 05:30:00,8.54488462e-08
1999-01-07 06:30:00,8.14907253e-08
1999-01-07 07:30:00,5.37547749e-08
1999-01-07 08:30:00,3.02534353e-08
1999-01-07 09:30:00,2.92784534e-08
1999-01-07 10:30:00,3.07482004e-08
1999-01-07 11:30:00,3.28582352e-08
1999-01-07 12:30:00,3.41242412e-08
1999-01-07 13:30:00,3.45462468e-08
1999-01-07 14:30:00,3.36876909e-08
1999-01-07 15:30:00,3.16795195e-08
1999-01-07 16:30:00,3.02534318e-08
1999-01-07 17:30:00,3.05881258e-08
1999-01-07 18:30:00,3.22470441e-08
1999-01-07 19:30:00,3.5011908e-08
1999-01-07 20:30:00,3.89845809e-08
1999-01-07 21:30:00,4.48490027e-08
1999-01-07 22:30:00,5.25615178e-08
1999-01-07 23:30:00,6.10598363e-08
1999-01-08 00:30:00,6.89469744e-08
1999-01-08 01:30:00,7.53498171e-08
1999-01-08 02:30:00,8.01228452e-08
1999-01-08 03:30:00,8.34115781e-08
1999-01-08 04:30:00,8.6351065e-08
1999-01-08 05:30:00,8.71368684e-08
1999-01-08 06:30:00,8.38772394e-08
1999-01-08 07:30:00,6.31553121e-08
1999-01-08 08:30:00,4.74537956e-08
1999-01-08 09:30:00,3.96248652e-08
1999-01-08 10:30:00,3.45316948e-08
1999-01-08 11:30:00,3.35712684e-08
1999-01-08 12:30:00,3.37458914e-08
1999-01-08 13:30:00,3.59286858e-08
1999-01-08 14:30:00,4.16184918e-08
1999-01-08 15:30:00,5.34200986e-08
1999-01-08 16:30:00,7.10715682e-08
1999-01-08 17:30:00,9.08039581e-08
1999-01-08 18:30:00,1.1161319e-07
1999-01-08 19:30:00,1.30967237e-07
1999-01-08 20:30:00,1.4656689e-07
1999-01-08 21:30:00,1.66066457e-07
1999-01-08 22:30:00,1.91037543e-07
1999-01-08 23:30:00,2.14378815e-07
1999-01-09 00:30:00,2.31957529e-07
1999-01-09 01:30:00,2.48313881e-07
1999-01-09 02:30:00,2.59489752e-07
1999-01-09 03:30:00,2.77999789e-07
1999-01-09 04:30:00,3.07452865e-07
1999-01-09 05:30:00,3.35858203e-07
1999-01-09 06:30:00,3.58209945e-07
1999-01-09 07:30:00,3.44938599e-07
1999-01-09 08:30:00,2.8044451e-07
1999-01-09 09:30:00,2.71480531e-07
1999-01-09 10:30:00,3.02796252e-07
1999-01-09 11:30:00,3.42843123e-07
1999-01-09 12:30:00,3.61353159e-07
1999-01-09 13:30:00,3.60771082e-07
1999-01-09 14:30:00,3.62051651e-07
1999-01-09 15:30:00,3.65078449e-07
1999-01-09 16:30:00,3.64729203e-07
1999-01-09 17:30:00,3.76836397e-07
1999-01-09 18:30:00,3.97092663e-07
1999-01-09 19:30:00,4.19211574e-07
1999-01-09 20:30:00,4.38303715e-07
1999-01-09 21:30:00,4.429603e-07
1999-01-09 22:30:00,4.37605252e-07
1999-01-09 23:30:00,4.2666224e-07
1999-01-10 00:30:00,4.13274421e-07
1999-01-10 01:30:00,3.997703e-07
1999-01-10 02:30:00,3.86382624e-07
1999-01-10 03:30:00,3.72179784e-07
1999-01-10 04:30:00,3.55415978e-07
1999-01-10 05:30:00,3.31318006e-07
1999-01-10 06:30:00,3.10596079e-07
1999-01-10 07:30:00,2.87778676e-07
1999-01-10 08:30:00,2.712477e-07
1999-01-10 09:30:00,2.61585228e-07
1999-01-10 10:30:00,2.5879126e-07
1999-01-10 11:30:00,2.57394277e-07
1999-01-10 12:30:00,2.5308691e-07
1999-01-10 13:30:00,2.47266144e-07
1999-01-10 14:30:00,2.44239345e-07
1999-01-10 15:30:00,2.43424438e-07
1999-01-10 16:30:00,2.41328962e-07
1999-01-10 17:30:00,2.36439519e-07
1999-01-10 18:30:00,2.28174031e-07
1999-01-10 19:30:00,2.15834007e-07
1999-01-10 20:30:00,2.01340299e-07
1999-01-10 21:30:00,1.89640559e-07
1999-01-10 22:30:00,1.81549694e-07
1999-01-10 23:30:00,1.73982698e-07
1999-01-11 00:30:00,1.66939571e-07
1999-01-11 01:30:00,1.61293428e-07
1999-01-11 02:30:00,1.57684553e-07
1999-01-11 03:30:00,1.57102477e-07
1999-01-11 04:30:00,1.58906914e-07
1999-01-11 05:30:00,1.60769559e-07
1999-01-11 06:30:00,1.5902333e-07
1999-01-11 07:30:00,1.53435394e-07
1999-01-11 08:30:00,1.44122168e-07
1999-01-11 09:30:00,1.39581971e-07
1999-01-11 10:30:00,1.38883493e-07
1999-01-11 11:30:00,1.43249068e-07
1999-01-11 12:30:00,1.50350402e-07
1999-01-11 13:30:00,1.58150272e-07
1999-01-11 14:30:00,1.65891905e-07
1999-01-11 15:30:00,1.72702244e-07
1999-01-11 16:30:00,1.77358856e-07
1999-01-11 17:30:00,1.7858126e-07
1999-01-11 18:30:00,1.76951431e-07
1999-01-11 19:30:00,1.73458972e-07
1999-01-11 20:30:00,1.66241236e-07
1999-01-11 21:30:00,1.5483252e-07
1999-01-11 22:30:00,1.4342379e-07
1999-01-11 23:30:00,1.37603067e-07
1999-01-12 00:30:00,1.41328201e-07
1999-01-12 01:30:00,1.52620487e-07
1999-01-12 02:30:00,1.72294676e-07
1999-01-12 03:30:00,2.00641807e-07
1999-01-12 04:30:00,2.26777047e-07
1999-01-12 05:30:00,1.91503204e-07
1999-01-12 06:30:00,1.4732359e-07
1999-01-12 07:30:00,1.09808752e-07
1999-01-12 08:30:00,7.36326911e-08
1999-01-12 09:30:00,5.97792678e-08
1999-01-12 10:30:00,5.93281584e-08
1999-01-12 11:30:00,7.23812263e-08
1999-01-12 12:30:00,8.57980922e-08
1999-01-12 13:30:00,9.08912625e-08
1999-01-12 14:30:00,8.87084752e-08
1999-01-12 15:30:00,9.26957e-08
1999-01-12 16:30:00,1.17404852e-07
1999-01-12 17:30:00,1.56462193e-07
1999-01-12 18:30:00,1.86555553e-07
1999-01-12 19:30:00,2.0430889e-07
1999-01-12 20:30:00,2.04658136e-07
1999-01-12 21:30:00,1.98604539e-07
1999-01-12 22:30:00,1.90164428e-07
1999-01-12 23:30:00,1.83121301e-07
1999-01-13 00:30:00,1.76660251e-07
1999-01-13 01:30:00,1.68569386e-07
1999-01-13 02:30:00,1.57684553e-07
1999-01-13 03:30:00,1.43947545e-07
1999-01-13 04:30:00,1.05093946e-07
1999-01-13 05:30:00,6.45232134e-08
1999-01-13 06:30:00,5.16447471e-08
1999-01-13 07:30:00,4.76866262e-08
1999-01-13 08:30:00,4.64497134e-08
1999-01-13 09:30:00,4.73373802e-08
1999-01-13 10:30:00,4.95492714e-08
1999-01-13 11:30:00,5.29689714e-08
1999-01-13 12:30:00,5.61849447e-08
1999-01-13 13:30:00,5.82367647e-08
1999-01-13 14:30:00,5.94882295e-08
1999-01-13 15:30:00,5.97501639e-08
1999-01-13 16:30:00,5.89643605e-08
1999-01-13 17:30:00,5.74655168e-08
1999-01-13 18:30:00,5.57047315e-08
1999-01-13 19:30:00,5.38857421e-08
1999-01-13 20:30:00,5.21686161e-08
1999-01-13 21:30:00,5.05679054e-08
1999-01-13 22:30:00,4.90545062e-08
1999-01-13 23:30:00,4.77011781e-08
1999-01-14 00:30:00,4.66679921e-08
1999-01-14 01:30:00,4.60277079e-08
1999-01-14 02:30:00,4.60568117e-08
1999-01-14 03:30:00,4.77448339e-08
1999-01-14 04:30:00,5.2707037e-08
1999-01-14 05:30:00,5.30708419e-08
1999-01-14 06:30:00,4.91272658e-08
1999-01-14 07:30:00,4.75993147e-08
1999-01-14 08:30:00,5.03059709e-08
1999-01-14 09:30:00,5.0466042e-08
1999-01-14 10:30:00,4.79194568e-08
